Unique ID,Title,,Source,Owner,Status
1,Origin of Coffee,,http://en.wikipedia.org/wiki/Mount_Vesuvius,Origin ,Needs editing
2,Countries that produce coffee,,http://en.wikipedia.org/wiki/Plate_tectonics,Origin,Done
3,"Difference between light, medium and dark roast",,http://en.wikipedia.org/wiki/Lava,Types,Needs to be written
4,Psychological effects of coffee,,http://psychcentral.com/blog/archives/2012/04/15/caffeines-effects-on-your-thinking/,Health,Done
5,Coffee and your health,,http://newyork.cbslocal.com/2013/08/15/study-too-much-coffee-could-increase-your-risk-of-death/,Health,Needs editing
6,These 10 Facts About Coffee Will Blow Your Mind,,http://www.lifehack.org/articles/lifestyle/these-10-facts-about-coffee-will-blow-your-mind.html,Other,Done
7,Green coffee bean,,http://www.doctoroz.com/videos/green-coffee-bean-project,Types,Needs editing
8,Diff types of coffee,,http://www.franchisedirect.com/coffeefranchises/coffeefranchiseindustryresearchbusinessreporti/74/220,Types,Needs to be written
9,Coffee addiction,,http://www.cnbc.com/id/43393500,Health,Done
10,Breaking the habit for good,,http://www.huffingtonpost.com/2013/08/14/kick-your-caffeine-habit-_n_3732348.html,Other,Done
11,Caffine: The Silent Killer of Emotional Intelligence,,http://www.forbes.com/sites/travisbradberry/2012/08/21/caffeine-the-silent-killer-of-emotional-intelligence/,Health,Needs editing
12,What do your Coffee Preferences Say About You? ,,http://www.lifehack.org/articles/lifestyle/what-your-coffee-preferences-say-about-you.html,Other,Done
13,Your Brain on Beer vs. Coffee,,http://www.lifehack.org/articles/lifestyle/how-beer-and-coffee-affect-your-brain.html,Other,Done
14,7 Reasons Why Coffee is Good for You,,http://www.popsci.com/science/article/2013-02/why-coffee-good-you-here-are-7-reasons,Health,Done
15,Caffine FAQ,,http://www.medicinenet.com/caffeine_quiz/faq.htm,Other,Needs to be written
